pid,category,korean,english_common,scientific
P001,관엽 Foliage,몬스테라,Monstera,Monstera deliciosa
P002,관엽 Foliage,스킨답서스,Golden Pothos,Epipremnum aureum
P003,관엽 Foliage,칼라데아,Calathea,Goeppertia makoyana
P004,관엽 Foliage,여인초,White Bird of Paradise,Strelitzia nicolai
P005,관엽 Foliage,스투키,Cylindrical Snake Plant,Dracaena angolensis
P006,관엽 Foliage,금전수,ZZ Plant,Zamioculcas zamiifolia
P007,관엽 Foliage,홍콩야자,Dwarf Umbrella Tree,Schefflera arboricola
P008,관엽 Foliage,산세베리아,Snake Plant,Dracaena trifasciata
P009,관엽 Foliage,고무나무,Rubber Plant,Ficus elastica
P010,관엽 Foliage,올리브나무,Olive Tree,Olea europaea
P011,관엽 Foliage,유칼립투스,Eucalyptus,Eucalyptus gunnii
P012,관엽 Foliage,필로덴드론,Heartleaf Philodendron,Philodendron hederaceum
P013,관엽 Foliage,알로카시아,Elephant Ear,Alocasia amazonica
P014,관엽 Foliage,행운목,Corn Plant,Dracaena fragrans
P015,관엽 Foliage,파키라,Money Tree,Pachira aquatica
P016,관엽 Foliage,벵갈고무나무,Bengal Fig,Ficus benghalensis
P017,관엽 Foliage,떡갈잎고무나무,Fiddle Leaf Fig,Ficus lyrata
P018,관엽 Foliage,몬스테라 아단소니,Swiss Cheese Vine,Monstera adansonii
P019,관엽 Foliage,안스리움,Anthurium,Anthurium andraeanum
P020,관엽 Foliage,스파티필름,Peace Lily,Spathiphyllum wallisii
P021,관엽 Foliage,디펜바키아,Dumb Cane,Dieffenbachia seguine
P022,관엽 Foliage,아글라오네마,Chinese Evergreen,Aglaonema commutatum
P023,관엽 Foliage,호야,Hoya Wax Plant,Hoya carnosa
P024,관엽 Foliage,틸란드시아,Air Plant,Tillandsia ionantha
P025,관엽 Foliage,박쥐란,Staghorn Fern,Platycerium bifurcatum
P026,관엽 Foliage,보스턴고사리,Boston Fern,Nephrolepis exaltata
P027,관엽 Foliage,아디안텀,Maidenhair Fern,Adiantum raddianum
P028,관엽 Foliage,페페로미아,Peperomia,Peperomia obtusifolia
P029,관엽 Foliage,필레아,Chinese Money Plant,Pilea peperomioides
P030,관엽 Foliage,무늬산세베리아,Snake Plant,Dracaena trifasciata
P031,관엽 Foliage,벤자민고무나무,Weeping Fig,Ficus benjamina
P032,관엽 Foliage,대만고무나무,Ginseng Ficus,Ficus microcarpa
P033,관엽 Foliage,극락조,Bird of Paradise,Strelitzia reginae
P034,관엽 Foliage,셀렘,Tree Philodendron,Thaumatophyllum bipinnatifidum
P035,관엽 Foliage,마란타,Prayer Plant,Maranta leuconeura
P036,관엽 Foliage,드라세나마지나타,Dragon Tree,Dracaena marginata
P037,관엽 Foliage,개운죽,Lucky Bamboo,Dracaena sanderiana
P038,관엽 Foliage,크로톤,Croton,Codiaeum variegatum
P039,관엽 Foliage,아이비,English Ivy,Hedera helix
P040,관엽 Foliage,싱고니움,Arrowhead Plant,Syngonium podophyllum
P041,관엽 Foliage,아스플레니움,Bird's Nest Fern,Asplenium nidus
P042,관엽 Foliage,몬스테라 오블리쿠아,Monstera Obliqua,Monstera obliqua
P043,관엽 Foliage,필로덴드론 셀로움,Philodendron Selloum,Philodendron bipinnatifidum
P044,관엽 Foliage,필로덴드론 콩고,Philodendron Congo,Philodendron tatei
P045,관엽 Foliage,필로덴드론 핑크프린세스,Pink Princess Philodendron,Philodendron erubescens
P046,관엽 Foliage,필로덴드론 버킨,Philodendron Birkin,Philodendron Birkin
P047,관엽 Foliage,필로덴드론 브라질,Philodendron Brasil,Philodendron hederaceum Brasil
P048,관엽 Foliage,안스리움 클라리네르비움,Velvet Anthurium,Anthurium clarinervium
P049,관엽 Foliage,안스리움 크리스탈리넘,Crystal Anthurium,Anthurium crystallinum
P050,관엽 Foliage,알로카시아 폴리,Alocasia Polly,Alocasia amazonica Polly
P051,관엽 Foliage,알로카시아 블랙벨벳,Black Velvet Alocasia,Alocasia reginula
P052,관엽 Foliage,알로카시아 스티나리아나,Alocasia Stingray,Alocasia macrorrhiza Stingray
P053,관엽 Foliage,알로카시아 프라이덱,Alocasia Frydek,Alocasia micholitziana
P054,관엽 Foliage,칼라데아 오르비폴리아,Calathea Orbifolia,Goeppertia orbifolia
P055,관엽 Foliage,칼라데아 메두사,Calathea Rattlesnake,Goeppertia lancifolia
P056,관엽 Foliage,칼라데아 화이트스타,Calathea White Star,Goeppertia majestica
