농원명,농원ID,구역,PIN,주소,대표전화,전문분야,소개문구,취급식물명,재고수량,최저가,최고가
공산농원,N040,노지하우스,1234,대구 동구 팔공로 94,010-4503-3095,관엽·대형목,30년 전통 관엽 전문,몬스테라,20,15000,45000
꽃채운농원,N002,노지하우스,1234,대구 동구 팔공로7길 18-10,010-9467-2369,관엽·대형목,31년 전통 관엽 전문,초화생산,20,8000,20000
다래농원,N003,노지하우스,1234,대구 동구 팔공로 51,010-2645-9566,관엽·대형목,32년 전통 관엽 전문,금전수,20,10000,30000
대구농원,N004,노지하우스,1234,대구 동구 팔공로 85-1,010-9368-8683,관엽·대형목,33년 전통 관엽 전문,몬스테라,20,,
대동농원,N005,노지하우스,1234,대구광역시 동구 지저동 222,010-4530-8160,관엽·대형목,34년 전통 관엽 전문,스킨답서스,20,,
대우토기,N006,노지하우스,1234,대구광역시 동구 팔공로 113,010-5314-6699,화분,35년 전통 관엽 전문,금전수,20,,
대지농산,N007,노지하우스,1234,대구광역시 동구 팔공로 53,010-6523-5162,관엽·대형목,36년 전통 관엽 전문,몬스테라,20,,
대풍리본,N008,노지하우스,1234,대구광역시 동구 불로동 1123-2,010-8570-1278,리본,37년 전통 관엽 전문,스킨답서스,20,,
동방조경,N009,노지하우스,1234,대구광역시 동구 팔공로 66,010-3299-7070,조경,38년 전통 관엽 전문,금전수,20,,
동호농산,N010,노지하우스,1234,대구광역시 동구 팔공로 93,010-4252-5678,관엽·대형목,39년 전통 관엽 전문,몬스테라,20,,
몽그린,N011,노지하우스,1234,대구광역시 동구 불로동 733,010-3807-1708,조경,40년 전통 관엽 전문,스킨답서스,20,,
미석조경,N012,노지하우스,1234,대구광역시 동구 공항로 169,010-3510-8033,조경,41년 전통 관엽 전문,금전수,20,,
병희농원,N013,노지하우스,1234,대구 동구 팔공로 58,010-5135-3464,관엽·대형목,42년 전통 관엽 전문,몬스테라,20,,
상록식물원,N014,노지하우스,1234,대구광역시 동구 팔공로 73,010-3809-4429,관엽·대형목,43년 전통 관엽 전문,스킨답서스,20,,
샤론플라워,N015,노지하우스,1234,대구광역시 동구 불로동 805,010-5365-0231,생화,44년 전통 관엽 전문,금전수,20,,
설봉화분,N016,노지하우스,1234,대구광역시 동구 팔공로 61,010-3813-3107,화분,45년 전통 관엽 전문,몬스테라,20,,
성주식물원,N017,노지하우스,1234,대구광역시 동구 팔공로 50,010-3819-8387,관엽·대형목,46년 전통 관엽 전문,스킨답서스,20,,
세기농원,N018,노지하우스,1234,대구 동구 팔공로 47,010-8579-1761,관엽·대형목,47년 전통 관엽 전문,금전수,20,,
식스팜,N019,노지하우스,1234,대구 동구 팔공로 61,010-2687-9000,관엽·대형목,48년 전통 관엽 전문,몬스테라,20,,
싱싱원예,N020,노지하우스,1234,대구광역시 동구 팔공로 58,010-3502-6416,특이,49년 전통 관엽 전문,스킨답서스,20,,
영남꽃,N021,노지하우스,1234,대구광역시 동구 팔공로 42,010-6294-8863,생화,50년 전통 관엽 전문,금전수,20,,
에버그린다육,N022,노지하우스,1234,대구광역시 동구 팔공로 74,010-3811-3212,다육,51년 전통 관엽 전문,몬스테라,20,,
오원생화,N023,노지하우스,1234,대구 동구 불로동 727,010-3809-0657,생화,52년 전통 관엽 전문,스킨답서스,20,,
이화난원,N024,노지하우스,1234,대구광역시 동구 팔공로 50,010-3503-6576,관엽·대형목,53년 전통 관엽 전문,금전수,20,,
자연농원,N025,노지하우스,1234,대구광역시 동구 팔공로 76,010-9503-4945,관엽·대형목,54년 전통 관엽 전문,몬스테라,20,,
제일토기,N026,노지하우스,1234,대구광역시 동구 팔공로 62,010-3504-5696,화분,55년 전통 관엽 전문,스킨답서스,20,,
조광농원,N027,노지하우스,1234,대구광역시 동구 팔공로 64,010-4635-8032,관엽·대형목,56년 전통 관엽 전문,금전수,20,,
중앙토기,N028,노지하우스,1234,대구광역시 동구 팔공로 107 1층 중앙토기,010-3503-7499,관엽·대형목,57년 전통 관엽 전문,몬스테라,20,,
청운농원,N001,노지하우스,1234,대구 동구 팔공로 75,010-4485-4544,관엽·대형목,58년 전통 관엽 전문,스킨답서스,20,,
팔공농약사,N030,노지하우스,1234,대구광역시 동구 불로동 597-7,010-8534-4880,관엽·대형목,59년 전통 관엽 전문,금전수,20,,
풀잎향기,N031,노지하우스,1234,대구광역시 동구 팔공로 63,010-3833-0064,관엽·대형목,60년 전통 관엽 전문,몬스테라,20,,
풍경원,N032,노지하우스,1234,대구 동구 팔공로 96,010-3825-8625,관엽·대형목,61년 전통 관엽 전문,스킨답서스,20,,
행운농원,N033,노지하우스,1234,대구광역시 동구 불로동 624,010-3502-2200,관엽·대형목,62년 전통 관엽 전문,금전수,20,,
현대농원,N034,노지하우스,1234,대구 동구 불로동 729,010-4509-5949,관엽·대형목,63년 전통 관엽 전문,몬스테라,20,,
현우토기,N035,노지하우스,1234,대구광역시 동구 팔공로 71,010-9726-0050,관엽·대형목,64년 전통 관엽 전문,스킨답서스,20,,
화사랑농원,N036,노지하우스,1234,대구광역시 동구 불로동 734,010-4412-8282,관엽·대형목,65년 전통 관엽 전문,금전수,20,,
황금농원,N037,노지하우스,1234,대구광역시 동구 불로동 745,010-3826-7343,관엽·대형목,66년 전통 관엽 전문,몬스테라,20,,
황제농원,N038,노지하우스,1234,대구광역시 동구 팔공로 67,010-4872-1779,관엽·대형목,67년 전통 관엽 전문,스킨답서스,20,,
